Date,NearbyOC,NovNC
1/2/2008,12.325,11.48
1/3/2008,12.515,11.615
1/4/2008,12.49,11.608
1/7/2008,12.36,11.675
1/8/2008,12.565,11.81
1/9/2008,12.49,11.84
1/10/2008,12.44,11.95
1/11/2008,12.86,12.45
1/14/2008,12.97,12.63
1/15/2008,13.015,12.85
1/16/2008,12.77,12.74
1/17/2008,12.71,12.7
1/18/2008,12.64,12.553
1/22/2008,12.395,12.175
1/23/2008,11.895,11.675
1/24/2008,12.305,12.15
1/25/2008,12.43,12.32
1/28/2008,12.538,12.288
1/29/2008,12.668,12.228
1/30/2008,12.758,12.293
1/31/2008,12.745,12.455
2/1/2008,12.873,12.54
2/4/2008,13.26,12.945
2/5/2008,13.23,12.9
2/6/2008,13.185,12.795
2/7/2008,13.315,12.81
2/8/2008,13.39,12.85
2/11/2008,13.26,12.82
2/12/2008,13.21,12.71
2/13/2008,13.285,12.71
2/14/2008,13.68,13.055
2/15/2008,13.738,13.175
2/19/2008,13.985,13.605
2/20/2008,13.978,13.66
2/21/2008,14.058,13.785
2/22/2008,14.2,13.905
2/25/2008,14.52,14.17
2/26/2008,14.668,14.27
2/27/2008,14.59,14.07
2/28/2008,14.985,14.24
2/29/2008,15.22,14.26
3/3/2008,15.445,14.475
3/4/2008,14.94,13.988
3/5/2008,14.905,13.915
3/6/2008,14.43,13.615
3/7/2008,13.41,13.115
3/10/2008,13.88,13
3/11/2008,13.925,13.153
3/12/2008,13.79,13.173
3/13/2008,13.87,13.205
3/14/2008,13.4,12.79
3/17/2008,13.028,12.29
3/18/2008,13.07,12.4
3/19/2008,12.57,11.9
3/20/2008,12.07,11.4
3/24/2008,12.57,11.89
3/25/2008,13.07,12.39
3/26/2008,13.52,12.445
3/27/2008,13.273,12.085
3/28/2008,12.673,11.595
3/31/2008,11.973,10.895
4/1/2008,12.11,11.473
4/2/2008,12.43,11.698
4/3/2008,12.57,11.953
4/4/2008,12.77,12.238
4/7/2008,12.55,12.15
4/8/2008,12.515,12.055
4/9/2008,13.13,12.44
4/10/2008,13.56,12.71
4/11/2008,13.325,12.625
